date,equity,capital,unrealized_pnl,open_positions,spot
2022-10-17,121593.02376708986,121593.02376708986,0.0,6,352.0367126464844
2022-10-19,122470.52664794924,122470.52664794924,0.0,6,353.6490478515625
2022-10-24,122479.81628173831,122479.81628173831,0.0,5,363.6011047363281
2022-10-26,121762.12843994144,121762.12843994144,0.0,5,366.6241455078125
2022-10-28,120340.3227563477,120340.3227563477,0.0,5,373.342041015625
2022-10-31,120139.93963623051,120139.93963623051,0.0,4,370.64532470703125
2022-11-02,121246.65706787114,121246.65706787114,0.0,3,359.7623291015625
2022-11-04,121246.65706787114,121246.65706787114,0.0,3,361.1826477050781
2022-11-07,122770.90706787114,122770.90706787114,0.0,2,364.63763427734375
2022-11-09,123714.39249267583,123714.39249267583,0.0,1,359.05206298828125
2022-11-11,124576.84421386724,124576.84421386724,0.0,0,382.4496154785156
2022-11-14,124576.84421386724,124576.84421386724,0.0,0,379.19622802734375
2022-11-16,124576.84421386724,124576.84421386724,0.0,0,379.512939453125
2022-11-18,124576.84421386724,124576.84421386724,0.0,0,380.0694885253906
2022-11-21,124576.84421386724,124576.84421386724,0.0,0,378.6876220703125
2022-11-23,124576.84421386724,124576.84421386724,0.0,0,386.2019958496094
2022-11-25,124576.84421386724,124576.84421386724,0.0,0,386.1156311035156
2022-11-28,124576.84421386724,124576.84421386724,0.0,0,379.954345703125
2022-11-30,124576.84421386724,124576.84421386724,0.0,0,391.25006103515625
2022-12-02,124576.84421386724,124576.84421386724,0.0,0,390.5111083984375
2022-12-05,124576.84421386724,124576.84421386724,0.0,0,383.4860534667969
2022-12-07,124576.84421386724,124576.84421386724,0.0,0,377.3151550292969
2022-12-09,124576.84421386724,124576.84421386724,0.0,0,377.43035888671875
2022-12-12,124576.84421386724,124576.84421386724,0.0,1,382.871826171875
2022-12-14,124576.84421386724,124576.84421386724,0.0,1,383.3037414550781
2022-12-16,124576.84421386724,124576.84421386724,0.0,1,369.5128173828125
2022-12-19,124576.84421386724,124576.84421386724,0.0,1,366.37945556640625
2022-12-21,124576.84421386724,124576.84421386724,0.0,1,372.3666076660156
2022-12-23,124747.79290527348,124747.79290527348,0.0,0,369.165771484375
2022-12-28,124747.79290527348,124747.79290527348,0.0,0,363.14007568359375
2022-12-30,124747.79290527348,124747.79290527348,0.0,0,368.7029724121094
2023-01-04,124747.79290527348,124747.79290527348,0.0,0,369.9852294921875
2023-01-06,124747.79290527348,124747.79290527348,0.0,0,374.150146484375
2023-01-09,124747.79290527348,124747.79290527348,0.0,0,373.9380798339844
2023-01-11,124747.79290527348,124747.79290527348,0.0,0,381.32305908203125
2023-01-13,124747.79290527348,124747.79290527348,0.0,0,384.1961669921875
2023-01-20,124747.79290527348,124747.79290527348,0.0,0,381.67022705078125
2023-01-23,124747.79290527348,124747.79290527348,0.0,0,386.2496643066406
2023-01-25,124747.79290527348,124747.79290527348,0.0,0,385.97979736328125
2023-01-27,124747.79290527348,124747.79290527348,0.0,0,391.1184387207031
2023-01-30,124747.79290527348,124747.79290527348,0.0,0,386.2111511230469
2023-02-01,124747.79290527348,124747.79290527348,0.0,0,396.0546875
2023-02-03,124747.79290527348,124747.79290527348,0.0,0,397.5489807128906
2023-02-06,124747.79290527348,124747.79290527348,0.0,0,395.1194763183594
2023-02-08,124747.79290527348,124747.79290527348,0.0,0,395.9100341796875
2023-02-10,124747.79290527348,124747.79290527348,0.0,0,393.39373779296875
2023-02-13,124747.79290527348,124747.79290527348,0.0,0,398.01177978515625
2023-02-15,124747.79290527348,124747.79290527348,0.0,0,399.1205139160156
2023-02-17,124747.79290527348,124747.79290527348,0.0,0,392.64178466796875
2023-02-22,124747.79290527348,124747.79290527348,0.0,0,384.2347412109375
2023-02-24,124747.79290527348,124747.79290527348,0.0,0,382.1523132324219
2023-02-27,124747.79290527348,124747.79290527348,0.0,0,383.4537658691406
2023-03-01,124747.79290527348,124747.79290527348,0.0,0,380.57110595703125
2023-03-03,124747.79290527348,124747.79290527348,0.0,0,389.681884765625
2023-03-06,124747.79290527348,124747.79290527348,0.0,0,389.951904296875
2023-03-08,124747.79290527348,124747.79290527348,0.0,0,384.6011047363281
2023-03-10,124747.79290527348,124747.79290527348,0.0,1,372.0580749511719
